SPGTable,,,,,,
Issuer Name,MI KEY,,,,,
SPT_ISSUER_NAME,SPT_MI_KEY,,,,,
Ticker ,Entity Name ,Last Time ,Industry Classification ,Sector ,Industry ,MI KEY 
AEE,Ameren Corporation (NYSE:AEE),4:00:02 PM ET  ,Utilities; Utilities; Multi-Utilities; Multi-Utilities,Utilities,Multi-Utilities,4007308
ALL,The Allstate Corporation (NYSE:ALL),4:00:03 PM ET  ,Financials; Insurance; Insurance; Property and Casualty Insurance; Casualty; Accident Insurance; Disability Insurance; Liability Insurance; Property; Commercial Property Insurance; Personal Property Insurance; Homeowner's and Renter's Insurance; Motor Vehicle Insurance,Financials,Insurance,103247
ALLY,Ally Financial Inc. (NYSE:ALLY),4:00:03 PM ET  ,Financials; Financial Services; Consumer Finance; Consumer Finance; Personal Credit Agencies; Consumer Digital Lending; Personal Loan Services,Financials,Consumer Finance,102864
ARW,"Arrow Electronics, Inc. (NYSE:ARW)",4:00:03 PM ET  ,"Information Technology; Technology Hardware and Equipment; Electronic Equipment, Instruments and Components; Technology Distributors; Semiconductor Equipment and Product Distribution; Software Distribution; Technology Hardware and Equipment Distribution",Information Technology,"Electronic Equipment, Instruments and Components",4066994
AT,[Inactive] Alltel Corporation,,Communication Services; Telecommunication Services; Wireless Telecommunication Services; Wireless Telecommunication Services; Cellular Services; Mobile Data Services,Communication Services,Wireless Telecommunication Services,4019044
BA,The Boeing Company (NYSE:BA),4:00:02 PM ET  ,"Industrials; Capital Goods; Aerospace and Defense; Aerospace and Defense; Aerospace and Defense Maintenance and Services; Aircraft Systems, Components and Equipment; Defense Electronics; Guided Missiles and Components; Military Aircraft; Passenger and Cargo Aircraft and Airplanes; Cargo Airplanes; Commercial passenger airplanes; Spacecraft and Satellites; Satellites",Industrials,Aerospace and Defense,4004086
BBWI,"Bath & Body Works, Inc. (NYSE:BBWI)",4:00:02 PM ET  ,Consumer Discretionary; Consumer Discretionary Distribution and Retail; Online Specialty Retail; Online Household Product Retail; Online Personal Care Product Retail; Online Beauty Care Product Retail; Specialty Retail; Other Specialty Retail; Household Product Stores; Personal Care Product Stores; Beauty Care Product Stores,Consumer Discretionary,Specialty Retail,4069317
BHF,"Brighthouse Financial, Inc. (NASDAQGS:BHF)",4:00:00 PM ET  ,Financials; Insurance; Insurance; Life and Health Insurance; Life Insurance,Financials,Insurance,6588911
BLS,"[Inactive] BellSouth, LLC",,Internet Service Providers (ISP); Communication Services; Telecommunication Services; Diversified Telecommunication Services; Integrated Telecommunication Services; Calling Card Provider Services; Conferencing Services; Local Telecommunications Services; Long Distance Telecommunications Services,Communication Services,Diversified Telecommunication Services,4041154
BNY,The Bank of New York Mellon Corporation (NYSE:BNY),4:00:02 PM ET  ,Financials; Financial Services; Escrow and Fiduciary Agencies; Capital Markets; Asset Management and Custody Banks; Investment Advice,Financials,Capital Markets,100144
BPLP.L,[Inactive] Boston Properties Limited Partnership,,Real Estate; Equity Real Estate Investment Trusts (REITs); Office REITs; Office REITs,Real Estate,Office REITs,4064347
