SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Issuer Name,Instrument Item ID,MI KEY,CUSIP,Description,MI KEY,CUSIP,Description,S&P Ratings Coupon Rate (%),S&P Ratings Maturity Date MM/dd/yyyy,Coupon,Offering Yield,Bid Price,Ask Price,Amount Outstanding ($000),Maturity Date MM/dd/yyyy,Issue Date (Reported),Entity Trade Volume 30 Day,Entity Trade Volume 60 Day,Entity Trade Volume 90 Day,Benchmark ISIN (Bonds Only),BA Spread (Bonds Only),PV01 Mid,Accrued Interest,Yield To Maturity-Mid (Bonds Only) (%),Yield To Maturity - Bid,Yield To Maturity-Ask (Bonds Only) (%),Yield To Maturity-Mid (Bonds Only) (%),Z - Spread - Bid,G - Spread - Bid,OAS - Bid,A - Spread - Bid,Macaulay Duration - Bid,Modified Duration - Bid,Convexity - Bid,S&P CREDIT RATING ACTION,S&P CREDIT RATING ACTION,S&P CREDIT RATING ACTION,S&P CreditWatch/Outlook,S&P Credit Rating,S&P Credit Rating Date MM/dd/yyyy,S&P CreditWatch/Outlook,Fixed Income Type,Seniority Level,Total Debt / EBITDA (x),"Total Revenues, 1 Year Growth (%)","Levered Free Cash Flow, 1 Yr. Growth (%)","Unlevered Free Cash Flow, 1 Yr. Growth (%)",EBITDA / Interest Expense (x),EBITDA ($000),EBITDA ($000),EBITDA ($000),Net Debt ($000),Current Ratio (x),Total Debt ($000),Total Assets ($000),Cash from Ops. ($000),Cash from Investing ($000),Cash from Financing ($000),Net Change in Cash ($000),Change in Net Working Capital ($000),Unlevered Free Cash Flow ($000),Levered Free Cash Flow ($000),Capex as Percent of Revenues (%),Net Debt ($000),Net Debt ($000),Net Debt ($000),Net Debt ($000),Net Debt ($000),Net Debt ($000),Net Debt ($000),Total Debt ($000),Total Debt ($000),Total Debt ($000),Total Debt ($000),Total Debt ($000),Net Change in Cash ($000),Net Change in Cash ($000),Net Change in Cash ($000),Net Change in Cash ($000),Net Change in Cash ($000),Net Change in Cash ($000),Net Change in Cash ($000),Change in Net Working Capital ($000),Change in Net Working Capital ($000),Change in Net Working Capital ($000),Change in Net Working Capital ($000),Change in Net Working Capital ($000),Change in Net Working Capital ($000),Change in Net Working Capital ($000),Unlevered Free Cash Flow ($000),Unlevered Free Cash Flow ($000),Unlevered Free Cash Flow ($000),Unlevered Free Cash Flow ($000),Unlevered Free Cash Flow ($000),Unlevered Free Cash Flow ($000),Levered Free Cash Flow ($000),Levered Free Cash Flow ($000),Levered Free Cash Flow ($000),Levered Free Cash Flow ($000),Levered Free Cash Flow ($000),Levered Free Cash Flow ($000),Levered Free Cash Flow ($000),Capital Expenditure ($000),Capital Expenditure ($000),Capital Expenditure ($000),Capital Expenditure ($000),Capital Expenditure ($000),Capital Expenditure ($000),Capital Expenditure ($000),Total Common Equity ($000),Total Common Equity ($000),Total Common Equity ($000),Total Common Equity ($000),Total Common Equity ($000),Total Common Equity ($000),Total Common Equity ($000),Total Preferred Equity ($000),Total Preferred Equity ($000),Total Preferred Equity ($000),Total Preferred Equity ($000),Total Preferred Equity ($000),Total Preferred Equity ($000),Total Preferred Equity ($000)
SPT_ISSUER_NAME,SPT_INSTRUMENT_ITEM_ID,SPT_MI_KEY,SPT_CUSIP,SPT_DESCRIPTION,SPT_MI_KEY,SPT_CUSIP,SPT_DESCRIPTION,RD_SEC_COUPON_RATE,RD_SEC_MATURITY_DATE,SPT_COUPON,SPT_OFFERING_YIELD,SPT_LIVE_PRICE_BID,SPT_LIVE_PRICE_ASK,SPT_AMOUNT_OUT,SPT_MAT_DATE,SPT_ISSUE_DATE,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_60D,SPT_ENTITY_TRADE_VOLUME_90D,SPT_LIVE_BENCHMARK_ISIN,SPT_LIVE_BID_ASK_SPREAD,SPT_PV01_MID_Bonds,SPT_ACCRUED_INTEREST,SPT_LIVE_YTM_MID,SPT_LIVE_YTM,SPT_LIVE_YTM_ASK,SPT_LIVE_YTM_MID,SPT_Z_SPREAD_BID,SPT_G_SPREAD_BID,SPT_OAS_BID,SPT_A_SPREAD_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MODIFIED_DURATION_BID,SPT_EOD_CONVEXITY_BID,RD_SEC_CREDIT_RATING_ACTION_GLOBAL,RD_SEC_CREDIT_RATING_ACTION_GLOBAL,RD_SEC_CREDIT_RATING_ACTION_GLOBAL,RD_SEC_CWOL_GLOBAL,RD_SEC_CREDIT_RATING_GLOBAL,RD_SEC_CREDIT_RATING_DATE_GLOBAL,RD_SEC_CWOL_GLOBAL,SPT_FIXED_INCOME,SPT_SENIORITY_LEVEL,322691,322692,322693,322694,322686,322641,322641,322641,322656,322687,322657,322655,322662,322663,322664,322665,322668,322669,322670,322696,322656,322656,322656,322656,322656,322656,322656,322657,322657,322657,322657,322657,322665,322665,322665,322665,322665,322665,322665,322668,322668,322668,322668,322668,322668,322668,322669,322669,322669,322669,322669,322669,322670,322670,322670,322670,322670,322670,322670,322661,322661,322661,322661,322661,322661,322661,322659,322659,322659,322659,322659,322659,322659,322658,322658,322658,322658,322658,322658,322658
,,,,,,,,,,,,,,,,,Current,Current,Current,,,Current,EOD Close Price,,,,,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,Local Currency LT,Local Currency LT,Local Currency LT,Local Currency LT,Local Currency LT,Local Currency LT,Local Currency LT,,,FY0,FY0,FY0,FY0,FY0,FY0,FY2025,FY2024,FY0,FY0,FY0,FY0,FY0,FY0,FY0,FY0,FY0,FY0,FY0,FY0,FY2024,FY2025,FY2023,FY2022,FY2021,FY2020,FY2019,FY2024,FY2023,FY2025,FY2022,FY2021,FY2024,FY2023,FY2025,FY2022,FY2021,FY2020,FY2019,FY2024,FY2025,FY2023,FY2022,FY2021,FY2020,FY2019,FY2024,FY2023,FY2022,FY2021,FY2020,FY2019,FY2024,FY2025,FY2023,FY2022,FY2021,FY2020,FY2019,FY2024,FY2025,FY2023,FY2022,FY2021,FY2020,FY2019,FY2024,FY2025,FY2022,FY2023,FY2021,FY2020,FY2019,FY2024,FY2025,FY2023,FY2022,FY2021,FY2020,FY2019
,,,,,,,,,,,,,,,,,,,,,,,Current,,,,,Current,Current,Current,Current,Current,Current,Current,Current,Last 3 Years,Last 2 Years,Current,Current,Current,Current,,,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEP Texas Inc.,SPS1783388206,4056935,00108WAQ3,AETEXA 5.25 05/15/2052 FIX USD Corporate,4056935,00108WAQ3,AETEXA 5.25 05/15/2052 FIX USD Corporate,5.25,5/15/2052,5.25000,5.26100,90.37938,90.50605,"500,000.00000",5/15/2052,5/18/2022 0:00,NA,NA,NA,US912810UR76,0.12666,0.11947,0.204,NA,NA,NA,NA,140.95622,90.79366,167.12177,129.97172,13.81626,13.41435,266.09750,Downgrade | CreditWatch/Outlook (06/09/2025),Downgrade | CreditWatch/Outlook (06/09/2025); Downgrade (05/20/2025),Downgrade | CreditWatch/Outlook (06/09/2025); Downgrade (05/20/2025),,BBB+,3/4/2024,,Corporate Bond,Senior Unsecured,5.42,9.36,(63.74),(77.40),4.88,"1,224,500",NA,"1,224,500","6,807,600",0.36,"6,807,700","15,199,600","964,100","(1,359,400)","384,800","(10,500)","(286,500)","(179,038)","(340,038)",67.97,"6,807,600",NA,"6,103,300","5,880,700","5,313,700","5,006,000","4,672,500","6,807,700","6,103,400",NA,"5,880,800","5,313,800","-10,500","1,300",NA,"2,300","1,700","-129,000","-2,000","-286,500",NA,"195,100","14,700","-11,700","-262,000","137,100","-179,038","-792,263","-513,613","-330,163","-265,200","-617,525","-340,038",NA,"-937,700","-644,050","-440,475","-372,575","-703,275","-1,413,600",NA,"-1,477,100","-1,305,000","-1,033,300","-1,295,000","-1,275,100","4,884,600",NA,"3,904,300","4,796,100","3,594,200","3,206,000","2,961,100",NA,NA,NA,NA,NA,NA,NA
"AEP Transmission Company, LLC",SPS1675968448,4341449,00115AAN9,AEPTRA 2.75 08/15/2051 FIX USD Corporate,4341449,00115AAN9,AEPTRA 2.75 08/15/2051 FIX USD Corporate,2.75,8/15/2051,2.75000,2.76900,60.87864,61.03802,"450,000.00000",8/15/2051,8/4/2021 0:00,NA,NA,NA,US912810UR76,0.15937,0.09337,0.794,NA,NA,NA,NA,109.51549,59.57182,135.72973,78.18307,15.84681,15.40769,326.81543,Upgrade (02/27/2025),Upgrade (02/27/2025); Downgrade (02/25/2025); CreditWatch/Outlook (12/17/2024); Downgrade | CreditWatch/Outlook (10/28/2024); Downgrade | CreditWatch/Outlook (09/25/2024); Downgrade | CreditWatch/Outlook (07/31/2024); CreditWatch/Outlook (07/10/2024); Downgrade | CreditWatch/Outlook (04/04/2024); CreditWatch/Outlook (06/30/2023),Upgrade (02/27/2025); Downgrade (02/25/2025); CreditWatch/Outlook (12/17/2024); Downgrade | CreditWatch/Outlook (10/28/2024); Downgrade | CreditWatch/Outlook (09/25/2024); Downgrade | CreditWatch/Outlook (07/31/2024); CreditWatch/Outlook (07/10/2024),,BBB+,3/4/2024,,Corporate Bond,Senior Unsecured,3.72,22.64,16.46,22.15,7.75,"1,813,000","1,813,000","1,423,900","6,745,000",0.17,"6,745,000","17,999,000","1,185,000","(1,578,000)","393,000",NA,"(59,000)","(207,625)","(353,875)",68.09,"5,855,300","6,745,000","5,591,400","5,014,900","4,470,100","4,106,800","3,568,300","5,855,300","5,591,400","6,745,000","5,014,900","4,470,100",NA,NA,NA,NA,NA,NA,NA,"-260,300","-59,000","152,000","-152,000","-42,900","62,800","-270,400","-169,975","-720,300","-436,538","-596,688","-1,072,263","-618,600","-303,850","-353,875","-841,863","-538,225","-684,938","-1,152,138","-679,475","-1,481,800","-1,579,000","-1,503,100","-1,468,300","-1,442,700","-1,621,900","-1,419,500","6,950,900","6,613,000","5,873,000","6,333,300","5,376,100","4,712,900","4,009,500",NA,NA,NA,NA,NA,NA,NA
Alcoa Nederland Holding B.V,SPS564713640,20065917,013822AD3,ALCONED 05/15/2028 FIX USD Corporate,20065917,013822AD3,ALCONED 05/15/2028 FIX USD Corporate,6.13,5/15/2028,6.12500,NA,99.87212,100.18660,0.00000,5/15/2028,5/17/2018 0:00,162447100,271678200,389051100,US91282CQL80,0.31447,0.00000,0.000,NA,NA,NA,NA,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Upgrade | CreditWatch/Outlook (03/03/2025),Upgrade | CreditWatch/Outlook (03/03/2025); CreditWatch/Outlook (11/15/2024); Downgrade | CreditWatch/Outlook (04/04/2024); CreditWatch/Outlook (01/30/2024); Downgrade (08/16/2023),Upgrade | CreditWatch/Outlook (03/03/2025); CreditWatch/Outlook (11/15/2024),,BB+,3/3/2026,,Corporate Bond,Senior Unsecured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alltel Corporation,SPS14070091,4019044,020039AJ2,ALTEL 6.8 05/01/2029 FIX USD Corporate,4019044,020039AJ2,ALTEL 6.8 05/01/2029 FIX USD Corporate,6.80,5/1/2029,6.80000,6.99072,106.36885,106.57520,"38,098.00000",5/1/2029,4/27/1999 0:00,NA,NA,NA,US91282CQR50,0.20635,0.02760,0.529,4.40907,4.44570,4.37244,4.40907,90.98841,102.35210,NA,93.99507,2.69242,2.62554,8.52828,Downgrade | CreditWatch/Outlook (06/09/2025),Downgrade | CreditWatch/Outlook (06/09/2025); Downgrade (05/20/2025),Downgrade | CreditWatch/Outlook (06/09/2025); Downgrade (05/20/2025),,BBB+,9/2/2013,,Corporate Bond,Senior Unsecured,6.71,10.80,-25.77,32.23,1.70,"3,488,400",NA,NA,"21,995,300",1.61,"23,405,200","31,390,700","1,558,400","(785,400)","(196,400)","576,600","(44,700)","2,147,425","1,026,550",8.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ally Financial Inc.,SPS216192058,102864,02006DR52,ALLYFI 7.1 12/15/2028 FIX USD Corporate,102864,02006DR52,ALLYFI 7.1 12/15/2028 FIX USD Corporate,7.10,12/15/2028,7.10000,NA,99.69798,99.95006,"21,129.00000",12/15/2028,12/7/2023 0:00,NA,NA,NA,US91282CQL80,0.25207,0.00051,3.234,NA,NA,NA,NA,"32,155.10042","101,157.18956",0.00000,"32,135.12511",0.04444,0.00731,0.00066,CreditWatch/Outlook (02/09/2026),CreditWatch/Outlook (02/09/2026); Upgrade (09/26/2023),CreditWatch/Outlook (02/09/2026),,BBB-,11/28/2023,,Corporate Bond,Senior Unsecured,NA,9.23,NA,NA,NA,NA,NA,NA,"11,859,000",NA,"21,889,000","196,002,000","3,729,000","(5,264,000)","1,956,000","429,000",NA,NA,NA,57.97,"8,939,000","11,859,000","14,035,000","14,746,000","12,197,000","8,741,000","36,140,000","19,231,000","20,980,000","21,889,000","20,340,000","17,266,000","3,941,000","1,217,000","429,000","552,000","(10,904,000)","12,194,000","(1,246,000)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3,460,000)","(4,275,000)","(2,759,000)","(3,532,000)","(5,120,000)","(4,320,000)","(4,023,000)","11,579,000","13,174,000","10,535,000","11,379,000","14,726,000","14,703,000","14,416,000","2,324,000","2,324,000","2,324,000","2,324,000","2,324,000",NA,NA
Ameren Corporation,SPS14080441,4007308,171794AF7,AEE 9.375 10/15/2029 FIX USD Corporate,4007308,171794AF7,AEE 9.375 10/15/2029 FIX USD Corporate,9.38,10/15/2029,9.37500,9.59230,NA,NA,"1,564.00000",10/15/2029,10/18/1999 0:00,NA,NA,NA,,NA,0.03297,1.146,NA,NA,NA,NA,110.76264,120.05068,NA,119.73085,2.97078,2.89411,10.47641,Upgrade (01/25/2022),,,NM,BBB,12/4/2013,NM,Corporate Bond,Senior Secured,5.35,15.65,(29.68),-40.64,4.79,"3,719,000","3,719,000","3,260,000","19,893,000",0.66,"19,906,000","48,476,000","3,353,000","(4,145,000)","884,000","92,000","(39,000)","(1,018,375)","(1,484,375)",49.28,"18,787,000","19,893,000","16,481,000","14,845,000","13,596,000","11,437,000","9,781,000","18,794,000","16,506,000","19,906,000","15,095,000","13,612,000","56,000","56,000","92,000","61,000","-146,000","125,000","69,000","113,000","-39,000","-266,000","286,000","344,000","40,000","-215,000","-1,715,625","-820,875","-1,142,125","-1,649,875","-1,280,000","-277,875","-2,111,000","-1,484,375","-1,158,625","-1,424,875","-1,866,250","-1,519,875","-497,000","-4,410,000","-4,174,000","-3,771,000","-3,380,000","-3,523,000","-3,299,000","-2,442,000","12,114,000","13,401,000","10,508,000","11,349,000","9,700,000","8,938,000","8,059,000",NA,NA,NA,NA,NA,NA,NA
"American Homes 4 Rent, L.P.",SPS1869214330,4413987,02666TAG2,AMERHOAL 5.5 02/01/2034 FIX USD Corporate,4413987,02666TAG2,AMERHOAL 5.5 02/01/2034 FIX USD Corporate,5.50,2/1/2034,5.50000,5.51400,101.42150,101.56883,"600,000.00000",2/1/2034,1/30/2024 0:00,NA,NA,NA,US91282CQQ77,0.14733,0.06398,1.803,NA,NA,NA,NA,100.26974,94.12979,126.22264,101.33574,6.26258,6.10156,45.45267,Upgrade (01/25/2022),,,,BBB,1/23/2024,,Corporate Bond,Senior Unsecured,5.32,7.03,3.91,5.31,5.19,"952,007","952,007","874,311","5,004,415",1.40,"5,112,931","13,242,120","864,327","(328,167)","(655,686)","(119,526)","42,896","769,676","663,967",NA,"4,827,658","5,004,415","4,420,550","4,467,598","3,851,003","2,699,518","2,799,838","5,027,071","4,479,935","5,112,931","4,536,753","3,899,201","128,355","3,901","-119,526","26,193","-73,310","100,958","-11,095","27,561","42,896","-70,117","-59,201","-2,355","-20,989","-145,951","730,871","772,480","705,356","562,852","518,593","621,214","639,016","663,967","697,135","632,734","499,834","452,875","549,224",NA,NA,NA,NA,NA,NA,"-6,121","7,626,790","7,487,666","6,952,818","7,431,043","6,366,865","5,617,995","5,164,355","221,840","221,840","221,840","221,840","371,564","854,435","854,435"
