SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Issuer Name,Instrument Item ID,MI KEY,CUSIP,Description,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid,Macaulay Duration - Bid
SPT_ISSUER_NAME,SPT_INSTRUMENT_ITEM_ID,SPT_MI_KEY,SPT_CUSIP,SPT_DESCRIPTION,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID,SPT_EOD_MACAULAY_DURATION_BID
,,,,,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price
,,,,,04/30/2026,03/31/2026,02/27/2026,01/30/2026,12/31/2025,11/28/2025,10/31/2025,09/30/2025,08/29/2025,07/31/2025,06/30/2025,05/30/2025,04/30/2025,03/31/2025,02/28/2025,01/31/2025,12/31/2024,11/29/2024,10/31/2024,09/30/2024,06/28/2024,03/29/2024,12/29/2023,09/29/2023,06/30/2023,03/31/2023,12/30/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020
AEP Texas Inc.,SPS1783388206,4056935,00108WAQ3,AETEXA 5.25 05/15/2052 FIX USD Corporate,13.42799,13.51265,13.80833,13.84484,13.93476,14.10683,13.78130,13.85197,13.70388,13.84039,13.93091,13.79854,13.48768,13.78014,13.97550,13.92447,14.04375,14.51914,14.06814,14.41963,14.10237,14.28831,14.71673,13.75512,14.70152,14.75454,0.00000,0.00000,0.00000,0,0,0,0,0,0
"AEP Transmission Company, LLC",SPS1675968448,4341449,00115AAN9,AEPTRA 2.75 08/15/2051 FIX USD Corporate,15.84961,15.94762,16.22119,15.90221,15.99053,16.21194,16.31659,16.41878,16.30121,16.04242,16.13151,16.00927,16.15030,16.37088,16.56870,16.07155,16.15689,16.64780,16.61352,17.01384,16.32693,16.88963,16.97486,16.48786,17.11878,17.55718,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,0
Alcoa Nederland Holding B.V,SPS564713640,20065917,013822AD3,ALCONED 05/15/2028 FIX USD Corporate,0.03889,1.97780,2.05870,2.14180,2.22532,2.31147,2.31932,2.40851,2.48917,2.57501,2.65873,2.73913,2.74113,2.82528,2.90380,2.98748,3.07239,3.15753,3.14720,3.23356,3.47861,3.62106,3.87007,3.98310,4.24050,4.36604,4.60868,4.69260,4.95639,5.10387,5.36826,5.46850,5.72857,5.81182,6.05727
Alltel Corporation,SPS14070091,4019044,020039AJ2,ALTEL 6.8 05/01/2029 FIX USD Corporate,2.77100,2.76742,2.85098,2.93269,3.01491,3.10237,3.17973,3.17002,3.25002,3.33353,3.41826,3.49659,3.58489,3.55395,3.63084,3.70997,3.79583,3.88197,3.96334,3.93042,4.16737,4.27951,4.53602,4.61469,4.87463,4.98564,5.22230,5.30385,5.59092,5.70468,6.00234,6.09693,6.34477,6.39227,6.67433
Ally Financial Inc.,SPS216192058,102864,02006DR52,ALLYFI 7.1 12/15/2028 FIX USD Corporate,2.37608,2.46037,2.54102,2.62317,2.70652,2.69996,2.77757,2.86650,2.94813,3.03490,3.11609,3.08745,3.17236,3.25710,3.33489,3.41772,3.50284,3.46125,3.54849,3.63718,3.88807,3.99376,4.24088,0,0,0,0,0,0,0,0,0,0,0,0
Ameren Corporation,SPS14080441,4007308,171794AF7,AEE 9.375 10/15/2029 FIX USD Corporate,3.05796,3.02121,3.10076,3.18309,3.26546,3.35061,3.41577,3.36868,3.44837,3.53358,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35488,4.60526,0,0,0,0,0,0,0,0,0,0
"American Homes 4 Rent, L.P.",SPS1869214330,4413987,02666TAG2,AMERHOAL 5.5 02/01/2034 FIX USD Corporate,6.33989,6.41979,6.51801,6.59565,6.51565,6.60375,6.67782,6.76732,6.83993,6.91650,6.81794,6.87916,6.96305,7.05115,7.14374,7.20408,7.10067,7.20892,7.28168,7.39493,7.37942,7.64564,0,0,0,0,0,0,0,0,0,0,0,0,0
