SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Issuer Name,Instrument Item ID,MI KEY,CUSIP,Description,OAS - Mid,OAS - Mid,OAS - Mid,OAS - Mid,OAS - Mid,OAS - Mid,OAS - Mid,OAS - Mid,OAS - Mid,OAS - Mid,OAS - Mid,OAS - Mid,OAS - Mid,OAS - Mid,OAS - Mid,OAS - Mid,OAS - Mid,OAS - Mid,OAS - Mid,OAS - Mid,OAS - Mid,OAS - Mid,OAS - Mid,OAS - Mid,OAS - Mid,OAS - Mid,OAS - Mid,OAS - Mid,OAS - Mid,OAS - Mid,OAS - Mid,OAS - Mid,OAS - Mid,OAS - Mid,OAS - Mid
SPT_ISSUER_NAME,SPT_INSTRUMENT_ITEM_ID,SPT_MI_KEY,SPT_CUSIP,SPT_DESCRIPTION,SPT_OAS_MID,SPT_OAS_MID,SPT_OAS_MID,SPT_OAS_MID,SPT_OAS_MID,SPT_OAS_MID,SPT_OAS_MID,SPT_OAS_MID,SPT_OAS_MID,SPT_OAS_MID,SPT_OAS_MID,SPT_OAS_MID,SPT_OAS_MID,SPT_OAS_MID,SPT_OAS_MID,SPT_OAS_MID,SPT_OAS_MID,SPT_OAS_MID,SPT_OAS_MID,SPT_OAS_MID,SPT_OAS_MID,SPT_OAS_MID,SPT_OAS_MID,SPT_OAS_MID,SPT_OAS_MID,SPT_OAS_MID,SPT_OAS_MID,SPT_OAS_MID,SPT_OAS_MID,SPT_OAS_MID,SPT_OAS_MID,SPT_OAS_MID,SPT_OAS_MID,SPT_OAS_MID,SPT_OAS_MID
,,,,,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price
,,,,,04/30/2026,03/31/2026,02/27/2026,01/30/2026,12/31/2025,11/28/2025,10/31/2025,09/30/2025,08/29/2025,07/31/2025,06/30/2025,05/30/2025,04/30/2025,03/31/2025,02/28/2025,01/31/2025,12/31/2024,11/29/2024,10/31/2024,09/30/2024,06/28/2024,03/29/2024,12/29/2023,09/29/2023,06/30/2023,03/31/2023,12/30/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020
AEP Texas Inc.,SPS1783388206,4056935,00108WAQ3,AETEXA 5.25 05/15/2052 FIX USD Corporate,181.73279,189.92291,187.82416,163.56457,165.97439,175.62855,177.28738,181.28272,194.20819,188.50686,201.49270,211.64508,234.05693,207.07609,197.32591,186.46321,190.69308,181.69347,192.91240,198.54692,213.96347,189.63668,175.89270,187.44305,196.48559,202.39656,187.87730,228.85174,211.99240,0,0,0,0,0,0
"AEP Transmission Company, LLC",SPS1675968448,4341449,00115AAN9,AEPTRA 2.75 08/15/2051 FIX USD Corporate,149.41771,156.68936,155.65044,131.40452,133.87403,139.32341,137.01799,137.13296,145.83992,146.19252,158.94369,167.43989,185.80243,169.16274,159.81364,156.24036,165.10575,157.78593,164.27660,163.15932,181.23818,161.34648,145.22673,147.94924,156.32638,163.01033,161.52928,180.21160,163.38147,143.69023,120.94190,114.72620,0,0,0
Alcoa Nederland Holding B.V,SPS564713640,20065917,013822AD3,ALCONED 05/15/2028 FIX USD Corporate,0,235.96545,91.59255,210.88113,162.12378,152.76226,162.81767,148.41880,131.58318,139.13507,128.30237,134.00030,243.66356,194.64266,169.62819,143.12052,181.70440,110.19057,184.59156,88.57578,163.36178,130.70934,0,0,0,0,0,0,0,0,0,0,0,0,0
Alltel Corporation,SPS14070091,4019044,020039AJ2,ALTEL 6.8 05/01/2029 FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ally Financial Inc.,SPS216192058,102864,02006DR52,ALLYFI 7.1 12/15/2028 FIX USD Corporate,329.54955,80.29283,116.46470,371.50916,375.98093,176.46730,-98.73539,56.49825,-78.27736,-95.67689,201.92141,264.70956,360.10100,257.97116,241.47854,282.68153,304.73159,345.96958,337.90171,-21.46093,-16.57857,-48.99711,67.82571,0,0,0,0,0,0,0,0,0,0,0,0
Ameren Corporation,SPS14080441,4007308,171794AF7,AEE 9.375 10/15/2029 FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"American Homes 4 Rent, L.P.",SPS1869214330,4413987,02666TAG2,AMERHOAL 5.5 02/01/2034 FIX USD Corporate,138.93969,154.33823,153.38008,134.02716,125.41178,138.75848,136.76688,137.95076,148.84162,146.06137,159.08977,166.35013,192.10803,167.20076,142.97030,142.59115,141.56702,145.99698,156.86605,165.63421,172.42993,163.26327,0,0,0,0,0,0,0,0,0,0,0,0,0
Ameritech Capital Funding Corporation,SPS14047511,4150236,030955AJ7,SBC-AmtechCapF 6.875 10/15/2027 FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
