SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Issuer Name,Instrument Item ID,MI KEY,CUSIP,Description,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid
SPT_ISSUER_NAME,SPT_INSTRUMENT_ITEM_ID,SPT_MI_KEY,SPT_CUSIP,SPT_DESCRIPTION,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID
,,,,,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price
,,,,,04/30/2026,03/31/2026,02/27/2026,01/30/2026,12/31/2025,11/28/2025,10/31/2025,09/30/2025,08/29/2025,07/31/2025,06/30/2025,05/30/2025,04/30/2025,03/31/2025,02/28/2025,01/31/2025,12/31/2024,11/29/2024,10/31/2024,09/30/2024,06/28/2024,03/29/2024,12/29/2023,09/29/2023,06/30/2023,03/31/2023,12/30/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020
AEP Texas Inc.,SPS1783388206,4056935,00108WAQ3,AETEXA 5.25 05/15/2052 FIX USD Corporate,155.53310,163.72556,161.59040,137.36311,139.77569,149.40610,151.40882,155.22919,168.25008,162.62900,175.31838,185.39498,208.03259,181.74229,171.75518,160.37154,164.61653,155.82167,166.87572,172.58714,187.81067,163.69517,175.68544,185.27333,195.46181,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0
"AEP Transmission Company, LLC",SPS1675968448,4341449,00115AAN9,AEPTRA 2.75 08/15/2051 FIX USD Corporate,123.25109,130.48844,129.44479,105.19355,107.64975,113.05180,110.72245,110.86048,119.57588,119.91864,132.68965,141.20658,159.51108,142.90855,133.51129,129.97226,138.83030,131.43226,137.91508,136.84114,154.94654,134.98706,144.65772,145.70070,154.79942,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,0
Alcoa Nederland Holding B.V,SPS564713640,20065917,013822AD3,ALCONED 05/15/2028 FIX USD Corporate,-10.84819,220.99030,241.13226,235.80402,231.73195,233.35100,225.87048,221.48069,221.10761,199.94886,208.34222,194.71451,251.34079,205.42006,181.35573,148.10205,169.42822,156.50645,186.03747,198.12252,169.67220,156.87156,188.94274,227.58968,189.67266,231.14131,229.08918,307.25639,350.54920,262.76172,321.74477,335.75757,331.91378,324.52587,386.35456
Alltel Corporation,SPS14070091,4019044,020039AJ2,ALTEL 6.8 05/01/2029 FIX USD Corporate,87.11109,101.63008,88.55948,94.83489,85.90205,104.05521,97.39837,100.40229,111.48574,116.05217,118.23737,122.36170,128.13418,120.70695,116.92836,121.08250,124.92553,127.44299,166.40919,160.97297,157.07849,150.35596,152.89324,161.64388,152.87666,163.94976,167.08174,160.61187,163.33313,162.21367,160.24487,159.14798,181.19983,202.70878,216.55976
Ally Financial Inc.,SPS216192058,102864,02006DR52,ALLYFI 7.1 12/15/2028 FIX USD Corporate,308.48079,292.47361,327.47208,346.61262,351.50578,315.66428,318.18870,319.62795,305.16722,267.88978,319.87644,311.60664,353.52346,306.19828,294.48317,270.33078,282.72362,323.23897,315.82879,327.65699,237.20301,258.12355,303.88251,0,0,0,0,0,0,0,0,0,0,0,0
Ameren Corporation,SPS14080441,4007308,171794AF7,AEE 9.375 10/15/2029 FIX USD Corporate,-8.52370,12.94883,58.91111,45.92746,60.36039,79.80871,188.91578,177.99315,187.38205,167.15100,0,0,0,0,0,0,0,0,0,0,0,0,0,811.00577,850.36445,0,0,0,0,0,0,0,0,0,0
"American Homes 4 Rent, L.P.",SPS1869214330,4413987,02666TAG2,AMERHOAL 5.5 02/01/2034 FIX USD Corporate,112.97058,128.33600,127.60561,108.01072,99.34614,112.85985,110.66037,111.87332,122.61068,119.80489,132.59483,140.16598,165.73837,141.59816,117.07469,116.42198,115.43811,120.21662,130.75738,139.71797,146.24980,137.07104,0,0,0,0,0,0,0,0,0,0,0,0,0
