SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Issuer Name,Instrument Item ID,MI KEY,CUSIP,Description,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid,Convexity - Bid
SPT_ISSUER_NAME,SPT_INSTRUMENT_ITEM_ID,SPT_MI_KEY,SPT_CUSIP,SPT_DESCRIPTION,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID,SPT_EOD_CONVEXITY_BID
,,,,,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price
,,,,,04/30/2026,03/31/2026,02/27/2026,01/30/2026,12/31/2025,11/28/2025,10/31/2025,09/30/2025,08/29/2025,07/31/2025,06/30/2025,05/30/2025,04/30/2025,03/31/2025,02/28/2025,01/31/2025,12/31/2024,11/29/2024,10/31/2024,09/30/2024,06/28/2024,03/29/2024,12/29/2023,09/29/2023,06/30/2023,03/31/2023,12/30/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020
AEP Texas Inc.,SPS1783388206,4056935,00108WAQ3,AETEXA 5.25 05/15/2052 FIX USD Corporate,258.34286,260.53663,269.20565,269.98051,272.40806,277.40553,271.39377,273.19381,268.26335,272.09960,274.54422,270.02988,264.59656,273.24425,278.99507,277.00175,280.35978,295.18972,284.95853,295.79126,284.45348,293.94384,306.75727,279.06189,308.63608,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0
"AEP Transmission Company, LLC",SPS1675968448,4341449,00115AAN9,AEPTRA 2.75 08/15/2051 FIX USD Corporate,326.82043,329.82724,338.48132,332.12097,334.83328,341.82089,345.12170,348.35401,344.44811,339.99344,342.75484,338.71850,343.14661,350.21702,356.62635,344.36056,346.99962,362.99304,361.76173,375.06094,355.98246,374.40784,381.15984,364.30076,389.68059,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,0
Alcoa Nederland Holding B.V,SPS564713640,20065917,013822AD3,ALCONED 05/15/2028 FIX USD Corporate,0.01948,4.79526,5.14883,5.51063,5.89869,6.30858,6.49096,6.93562,7.34817,7.79309,8.25384,8.69760,8.88578,9.37774,9.84987,10.35997,10.86447,11.43717,11.60690,12.20473,13.80395,15.18395,17.08065,18.20109,20.42652,23.59513,24.69593,26.96968,28.54415,32.18707,33.87461,36.98206,38.61616,41.69823,43.31139
Alltel Corporation,SPS14070091,4019044,020039AJ2,ALTEL 6.8 05/01/2029 FIX USD Corporate,8.99217,9.17863,9.70958,10.17603,10.66406,11.23886,11.73235,11.93887,12.46048,12.99114,13.59432,14.11614,14.78454,14.86507,15.41710,15.96108,16.60838,17.30716,17.89302,18.12982,19.93957,21.40252,23.73411,24.85970,27.40860,31.25173,32.42309,35.26521,37.41041,41.01437,43.47200,47.00368,48.60263,51.53097,53.98673
Ally Financial Inc.,SPS216192058,102864,02006DR52,ALLYFI 7.1 12/15/2028 FIX USD Corporate,6.73573,7.17062,7.58648,7.99915,8.45197,8.66301,9.09423,9.60521,10.10210,10.63837,11.11007,11.20678,11.72917,12.29166,12.80633,13.36030,13.93632,13.98599,14.60493,15.28964,17.17964,18.44195,20.45590,0,0,0,0,0,0,0,0,0,0,0,0
Ameren Corporation,SPS14080441,4007308,171794AF7,AEE 9.375 10/15/2029 FIX USD Corporate,11.14621,11.21886,11.71537,12.24141,12.78004,13.34985,13.66175,13.74559,14.29092,14.88680,0,0,0,0,0,0,0,0,0,0,0,0,0,22.53680,24.63042,0,0,0,0,0,0,0,0,0,0
"American Homes 4 Rent, L.P.",SPS1869214330,4413987,02666TAG2,AMERHOAL 5.5 02/01/2034 FIX USD Corporate,46.41171,47.39868,48.75101,49.72327,49.64630,50.79776,51.75214,52.94297,53.87735,54.86511,54.53871,55.28558,56.41558,57.64671,59.00262,59.74639,59.41010,61.01977,62.00439,63.75403,64.47972,68.45153,0,0,0,0,0,0,0,0,0,0,0,0,0
