SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Issuer Name,Instrument Item ID,MI KEY,CUSIP,Description,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day,Entity Trade Volume 30 Day
SPT_ISSUER_NAME,SPT_INSTRUMENT_ITEM_ID,SPT_MI_KEY,SPT_CUSIP,SPT_DESCRIPTION,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D,SPT_ENTITY_TRADE_VOLUME_30D
,,,,,04/30/2026,03/31/2026,02/27/2026,01/30/2026,12/31/2025,11/28/2025,10/31/2025,09/30/2025,08/29/2025,07/31/2025,06/30/2025,05/30/2025,04/30/2025,03/31/2025,02/28/2025,01/31/2025,12/31/2024,11/29/2024,10/31/2024,09/30/2024,06/28/2024,03/29/2024,12/29/2023,09/29/2023,06/30/2023,03/31/2023,12/30/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020
AEP Texas Inc.,SPS1783388206,4056935,00108WAQ3,AETEXA 5.25 05/15/2052 FIX USD Corporate,"694,834,000.00000","1,010,921,000.00000","439,889,000.00000","377,276,000.00000","419,110,000.00000","429,093,000.00000","968,709,000.00000","753,349,000.00000","295,261,000.00000","265,453,000.00000","318,684,000.00000","355,605,000.00000","368,186,000.00000","334,838,000.00000","275,655,500.00000","197,516,000.00000","326,095,000.00000","185,559,000.00000","197,446,000.00000","275,015,000.00000","517,297,000.00000",0.00000,"135,058,000.00000","156,801,000.00000","359,686,000.00000","193,686,000.00000","162,540,000.00000","192,082,000.00000","440,503,000.00000",0,0,0,0,0,0
"AEP Transmission Company, LLC",SPS1675968448,4341449,00115AAN9,AEPTRA 2.75 08/15/2051 FIX USD Corporate,"275,874,000.00000","300,021,500.00000","237,728,500.00000","283,237,000.00000","222,945,000.00000","235,320,000.00000","276,849,000.00000","363,339,000.00000","319,453,000.00000","315,668,000.00000","403,637,000.00000","571,367,000.00000","314,553,000.00000","360,649,000.00000","278,119,000.00000","205,752,000.00000","299,449,000.00000","180,049,000.00000","194,973,000.00000","191,942,000.00000","268,495,000.00000",0.00000,"153,348,000.00000","135,153,000.00000","176,925,000.00000","449,450,000.00000","130,234,000.00000","125,962,000.00000","296,995,000.00000","136,252,000.00000","51,759,000.00000","187,567,000.00000",0,0,0
Alcoa Nederland Holding B.V,SPS564713640,20065917,013822AD3,ALCONED 05/15/2028 FIX USD Corporate,129450100,"122,414,000.00000","98,473,900.00000","121,877,000.00000","91,700,000.00000","93,490,000.00000","94,627,000.00000","107,194,000.00000","120,510,000.00000","107,457,000.00000","102,994,000.00000","126,852,000.00000","222,218,000.00000","183,398,000.00000","126,686,000.00000","179,008,000.00000","209,594,000.00000","151,451,000.00000","202,375,000.00000","209,622,000.00000","177,495,000.00000","567,993,000.00000",141278000,129592000,159141000,142968000,183426000,286728000,179095000,162387000,103108000,109821000,189659000,433498000,170051000
Alltel Corporation,SPS14070091,4019044,020039AJ2,ALTEL 6.8 05/01/2029 FIX USD Corporate,414000,681000,4658000,4829000,1001000,889000,746000,7878000,7266000,4962000,2479000,399000,516000,1346000,866000,623000,373000,312000,547000,567000,592000,0,1701000,338000,568000,382000,966000,775000,279000,1521000,804000,1752000,347000,698000,723000
Ally Financial Inc.,SPS216192058,102864,02006DR52,ALLYFI 7.1 12/15/2028 FIX USD Corporate,"1,477,295,600.00000","960,690,500.00000","1,027,540,400.00000","756,175,000.00000","800,553,600.00000","863,017,000.00000","1,550,793,900.00000","1,082,285,600.00000","1,078,844,200.00000","1,024,802,500.00000","942,333,400.00000","1,102,095,000.00000","1,184,869,500.00000","1,103,441,600.00000","1,022,061,600.00000","1,046,986,000.00000","902,399,000.00000","557,750,000.00000","903,460,400.00000","1,128,332,000.00000","602,268,000.00000",0.00000,0.00000,0,0,0,0,0,0,0,0,0,0,0,0
Ameren Corporation,SPS14080441,4007308,171794AF7,AEE 9.375 10/15/2029 FIX USD Corporate,350869500,654566000,414037000,306597000,347179000,343935000,342504000,339614500,227066000,342684000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"American Homes 4 Rent, L.P.",SPS1869214330,4413987,02666TAG2,AMERHOAL 5.5 02/01/2034 FIX USD Corporate,"316,884,000.00000","403,459,000.00000","452,146,000.00000","543,839,000.00000","234,243,000.00000","307,924,000.00000","237,491,000.00000","252,637,000.00000","150,681,000.00000","242,031,000.00000","266,755,000.00000","231,714,000.00000","328,260,000.00000","303,508,000.00000","205,725,000.00000","172,395,000.00000","239,662,000.00000","229,600,000.00000","306,907,000.00000","301,594,000.00000","204,616,000.00000",0.00000,0,0,0,0,0,0,0,0,0,0,0,0,0
Ameritech Capital Funding Corporation,SPS14047511,4150236,030955AJ7,SBC-AmtechCapF 6.875 10/15/2027 FIX USD Corporate,2972000,1820000,3645000,1320000,1342000,2302000,3265000,3630000,6469000,4870000,5053000,2135000,1408000,6097000,11804000,12359500,1647000,1885000,2886000,3254000,1952000,0,3042000,461000,1497000,788000,1980000,815000,2760000,1308000,1030000,3206000,1371000,2300000,1310000
