SPGTable,,,,,,,,,,,
Issuer Name,Instrument Item ID,MI KEY,CUSIP,Description,"Callable?
Yes/No","Next Call Date
MM/dd/yyyy","First Callable Payment Date
MM/dd/yyyy",Seniority Level,Debt Type Detail,"Maturity Date
MM/dd/yyyy",Maturity Type
SPT_ISSUER_NAME,SPT_INSTRUMENT_ITEM_ID,SPT_MI_KEY,SPT_CUSIP,SPT_DESCRIPTION,SPT_CALLABLE,SPT_NEXT_CALL_DATE,SPT_FIRST_CALLABLE_PAYMENT_DATE,SPT_SENIORITY_LEVEL,SPT_DEBT_TYPE_DETAIL,SPT_MAT_DATE,SPT_MATURITY_TYPE
,,,,,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price
,,,,,11/28/2025,10/31/2025,9/30/2025,8/29/2025,7/31/2025,5/30/2025,4/30/2025
AEP Texas Inc.,SPS1783388206,4056935,00108WAQ3,AETEXA 5.25 05/15/2052 FIX USD Corporate,Yes,11/15/2051,11/15/2051,Senior Unsecured,Bond,5/15/2052,Fixed Maturity
"AEP Transmission Company, LLC",SPS1675968448,4341449,00115AAN9,AEPTRA 2.75 08/15/2051 FIX USD Corporate,Yes,2/15/2051,2/15/2051,Senior Unsecured,Bond,8/15/2051,Fixed Maturity
Alcoa Nederland Holding B.V,SPS564713640,20065917,013822AD3,ALCONED 05/15/2028 FIX USD Corporate,Yes,,"45,061.00000",Senior Unsecured,Bond,"46,888.00000",Fixed Maturity
Alltel Corporation,SPS14070091,4019044,020039AJ2,ALTEL 6.8 05/01/2029 FIX USD Corporate,Yes,,,Senior Unsecured,Bond,"47,239.00000",Fixed Maturity
Ally Financial Inc.,SPS216192058,102864,02006DR52,ALLYFI 7.1 12/15/2028 FIX USD Corporate,Yes,"46,188.00000","45,458.00000",Senior Unsecured,Bond,"47,102.00000",Fixed Maturity
Ameren Corporation,SPS14080441,4007308,171794AF7,AEE 9.375 10/15/2029 FIX USD Corporate,Yes,,,Senior Secured,Bond,10/15/2029,Fixed Maturity
"American Homes 4 Rent, L.P.",SPS1869214330,4413987,02666TAG2,AMERHOAL 5.5 02/01/2034 FIX USD Corporate,Yes,"48,884.00000","48,884.00000",Senior Unsecured,Bond,"48,976.00000",Fixed Maturity
