SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Issuer Name,Instrument Item ID,MI KEY,CUSIP,Description,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price
SPT_ISSUER_NAME,SPT_INSTRUMENT_ITEM_ID,SPT_MI_KEY,SPT_CUSIP,SPT_DESCRIPTION,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID
,,,,,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price
,,,,,04/30/2026,03/31/2026,02/27/2026,01/30/2026,12/31/2025,11/28/2025,10/31/2025,09/30/2025,08/29/2025,07/31/2025,06/30/2025,05/30/2025,04/30/2025,03/31/2025,02/28/2025,01/31/2025,12/31/2024,11/29/2024,10/31/2024,09/30/2024,06/28/2024,03/29/2024,12/29/2023,09/29/2023,06/30/2023,03/31/2023,12/30/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020
AEP Texas Inc.,SPS1783388206,4056935,00108WAQ3,AETEXA 5.25 05/15/2052 FIX USD Corporate,89.28799,89.34071,92.39922,91.67349,91.79668,93.15441,92.79825,92.54871,89.32421,90.01088,90.10548,87.18364,87.37571,90.14484,91.77208,89.82351,90.27912,96.09840,93.75245,97.62772,89.70657,94.24027,96.74313,86.13977,95.11924,97.90767,96.21050,91.67776,101.77038,0,0,0,0,0,0
"AEP Transmission Company, LLC",SPS1675968448,4341449,00115AAN9,AEPTRA 2.75 08/15/2051 FIX USD Corporate,59.99195,60.07829,62.22117,61.59875,61.61839,63.10487,63.30743,63.44643,61.12556,61.23914,61.25085,59.08535,59.60877,60.99537,62.28553,59.96798,59.85515,64.16789,62.78284,66.39795,60.00963,62.98607,64.98995,57.58406,64.84593,66.67933,63.84298,62.82670,70.45156,82.72799,96.26887,95.84498,0,0,0
Alcoa Nederland Holding B.V,SPS564713640,20065917,013822AD3,ALCONED 05/15/2028 FIX USD Corporate,100.07560,99.88875,100.24375,100.05834,100.27225,100.31763,100.29230,100.46250,100.51563,100.37500,100.69375,100.58125,99.87300,100.16618,100.51849,100.73020,100.10511,101.13672,100.27875,101.57550,99.58850,100.42900,101.04438,96.31250,99.56300,100.37200,98.90770,94.86934,97.50000,105.19328,107.91375,108.47314,109.49250,108.79388,109.71500
Alltel Corporation,SPS14070091,4019044,020039AJ2,ALTEL 6.8 05/01/2029 FIX USD Corporate,105.33901,105.35933,107.03544,106.33334,106.93828,106.78375,106.83834,106.95251,106.82677,105.83601,106.53173,105.80312,106.78704,105.88397,105.70704,104.47634,104.47330,105.47279,103.90539,106.32874,103.23102,104.13049,106.30081,102.13265,105.25560,107.80152,105.90607,106.05844,112.04348,116.60460,124.29589,126.27948,125.95036,122.79815,128.57174
Ally Financial Inc.,SPS216192058,102864,02006DR52,ALLYFI 7.1 12/15/2028 FIX USD Corporate,99.82619,100.49191,100.55807,99.58761,99.59548,100.76990,100.44169,100.46982,100.99498,101.34436,100.31161,99.96979,99.55406,99.97719,99.98364,99.85326,99.47029,98.82957,99.08372,100.49777,100.80263,100.36449,100.38204,0,0,0,0,0,0,0,0,0,0,0,0
Ameren Corporation,SPS14080441,4007308,171794AF7,AEE 9.375 10/15/2029 FIX USD Corporate,117.57200,117.57200,117.57200,117.57200,117.57200,117.57200,113.18467,113.96914,113.96914,113.96914,0,0,0,0,0,0,0,0,0,0,0,0,0,84.50000,84.50000,0,0,0,0,0,0,0,0,0,0
"American Homes 4 Rent, L.P.",SPS1869214330,4413987,02666TAG2,AMERHOAL 5.5 02/01/2034 FIX USD Corporate,101.37330,100.99773,103.15886,102.46419,103.44790,103.74039,103.34396,103.42420,102.58631,101.56473,101.65935,99.82986,99.69533,100.09610,101.49799,99.32875,99.71838,101.88047,100.67278,103.33164,98.16388,99.57114,0,0,0,0,0,0,0,0,0,0,0,0,0
