SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Issuer Name,Instrument Item ID,MI KEY,CUSIP,Description,Sector Trade Volume 30 Day,Sector Trade Volume 30 Day,Sector Trade Volume 30 Day,Sector Trade Volume 30 Day,Sector Trade Volume 30 Day,Sector Trade Volume 30 Day,Sector Trade Volume 30 Day,Sector Trade Volume 30 Day,Sector Trade Volume 30 Day,Sector Trade Volume 30 Day,Sector Trade Volume 30 Day,Sector Trade Volume 30 Day,Sector Trade Volume 30 Day,Sector Trade Volume 30 Day,Sector Trade Volume 30 Day,Sector Trade Volume 30 Day,Sector Trade Volume 30 Day,Sector Trade Volume 30 Day,Sector Trade Volume 30 Day,Sector Trade Volume 30 Day,Sector Trade Volume 30 Day,Sector Trade Volume 30 Day,Sector Trade Volume 30 Day,Sector Trade Volume 30 Day,Sector Trade Volume 30 Day,Sector Trade Volume 30 Day,Sector Trade Volume 30 Day,Sector Trade Volume 30 Day,Sector Trade Volume 30 Day,Sector Trade Volume 30 Day,Sector Trade Volume 30 Day,Sector Trade Volume 30 Day,Sector Trade Volume 30 Day,Sector Trade Volume 30 Day,Sector Trade Volume 30 Day
SPT_ISSUER_NAME,SPT_INSTRUMENT_ITEM_ID,SPT_MI_KEY,SPT_CUSIP,SPT_DESCRIPTION,SPT_SECTOR_TRADE_VOLUME_30D,SPT_SECTOR_TRADE_VOLUME_30D,SPT_SECTOR_TRADE_VOLUME_30D,SPT_SECTOR_TRADE_VOLUME_30D,SPT_SECTOR_TRADE_VOLUME_30D,SPT_SECTOR_TRADE_VOLUME_30D,SPT_SECTOR_TRADE_VOLUME_30D,SPT_SECTOR_TRADE_VOLUME_30D,SPT_SECTOR_TRADE_VOLUME_30D,SPT_SECTOR_TRADE_VOLUME_30D,SPT_SECTOR_TRADE_VOLUME_30D,SPT_SECTOR_TRADE_VOLUME_30D,SPT_SECTOR_TRADE_VOLUME_30D,SPT_SECTOR_TRADE_VOLUME_30D,SPT_SECTOR_TRADE_VOLUME_30D,SPT_SECTOR_TRADE_VOLUME_30D,SPT_SECTOR_TRADE_VOLUME_30D,SPT_SECTOR_TRADE_VOLUME_30D,SPT_SECTOR_TRADE_VOLUME_30D,SPT_SECTOR_TRADE_VOLUME_30D,SPT_SECTOR_TRADE_VOLUME_30D,SPT_SECTOR_TRADE_VOLUME_30D,SPT_SECTOR_TRADE_VOLUME_30D,SPT_SECTOR_TRADE_VOLUME_30D,SPT_SECTOR_TRADE_VOLUME_30D,SPT_SECTOR_TRADE_VOLUME_30D,SPT_SECTOR_TRADE_VOLUME_30D,SPT_SECTOR_TRADE_VOLUME_30D,SPT_SECTOR_TRADE_VOLUME_30D,SPT_SECTOR_TRADE_VOLUME_30D,SPT_SECTOR_TRADE_VOLUME_30D,SPT_SECTOR_TRADE_VOLUME_30D,SPT_SECTOR_TRADE_VOLUME_30D,SPT_SECTOR_TRADE_VOLUME_30D,SPT_SECTOR_TRADE_VOLUME_30D
,,,,,04/30/2026,03/31/2026,02/27/2026,01/30/2026,12/31/2025,11/28/2025,10/31/2025,09/30/2025,08/29/2025,07/31/2025,06/30/2025,05/30/2025,04/30/2025,03/31/2025,02/28/2025,01/31/2025,12/31/2024,11/29/2024,10/31/2024,09/30/2024,06/28/2024,03/29/2024,12/29/2023,09/29/2023,06/30/2023,03/31/2023,12/30/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020
AEP Texas Inc.,SPS1783388206,4056935,00108WAQ3,AETEXA 5.25 05/15/2052 FIX USD Corporate,"5,733,361,731.00000","6,549,102,577.00000","5,291,026,269.00000","5,158,066,366.00000","1,176,141,346.00000","1,816,923,954.00000","5,050,807,612.00000","6,062,998,997.00000","2,494,224,656.00000","4,255,528,452.00000","4,736,501,735.00000","3,424,462,312.00000","5,820,489,183.00000","5,093,050,639.00000","4,458,966,675.00000","4,617,637,381.00000","1,176,974,326.00000","1,238,716,619.00000","3,969,219,379.00000","4,376,238,747.00000","4,144,260,874.00000",0.00000,"750,029,646.00000","2,870,274,300.00000","3,229,423,972.00000","3,646,449,656.00000","725,078,539.00000","2,423,505,838.00000","2,729,033,681.00000",0,0,0,0,0,0
"AEP Transmission Company, LLC",SPS1675968448,4341449,00115AAN9,AEPTRA 2.75 08/15/2051 FIX USD Corporate,"5,733,361,731.00000","6,549,102,577.00000","5,291,026,269.00000","5,158,066,366.00000","1,176,141,346.00000","1,816,923,954.00000","5,050,807,612.00000","6,062,998,997.00000","2,494,224,656.00000","4,255,528,452.00000","4,736,501,735.00000","3,424,462,312.00000","5,820,489,183.00000","5,093,050,639.00000","4,458,966,675.00000","4,617,637,381.00000","1,176,974,326.00000","1,238,716,619.00000","3,969,219,379.00000","4,376,238,747.00000","4,144,260,874.00000",0.00000,"750,029,646.00000","2,870,274,300.00000","3,229,423,972.00000","3,646,449,656.00000","725,078,539.00000","2,423,505,838.00000","2,729,033,681.00000","3,001,934,062.00000","707,317,963.00000","2,322,748,716.00000",0,0,0
Alcoa Nederland Holding B.V,SPS564713640,20065917,013822AD3,ALCONED 05/15/2028 FIX USD Corporate,2226534369,"2,520,765,044.00000","2,395,526,148.00000","2,613,339,495.00000","732,124,000.00000","1,367,857,331.00000","2,205,083,032.00000","2,663,922,759.00000","1,126,952,650.00000","2,000,283,404.00000","1,679,844,000.00000","1,633,834,000.00000","3,069,753,233.00000","2,763,566,693.00000","2,262,237,624.00000","1,795,192,099.00000","368,476,918.00000","674,994,739.00000","1,919,419,779.00000","1,779,544,036.00000","1,741,630,417.00000","1,910,756,800.00000",577136493,2025850050,1350159000,1466448000,923377000,1395880000,1230451000,1349504500,482618000,1573179000,1357214000,1706405000,564354000
Alltel Corporation,SPS14070091,4019044,020039AJ2,ALTEL 6.8 05/01/2029 FIX USD Corporate,2771395169,2560618816,2739020219,4173674528,968687914,1377386893,2099042407,2231037884,1396463839,2241978047,1861314228,1788109490,2251095627,2172221504,2043262863,1329870281,884149275,750993359,1914673284,1871852136,1654718259,0,856670506,1914529216,1403864725,1929884750,538927140,2039922041,1903136367,2656583506,448902738,2063560185,1932490316,3443721178,1068322853
Ally Financial Inc.,SPS216192058,102864,02006DR52,ALLYFI 7.1 12/15/2028 FIX USD Corporate,"26,537,892,307.00000","24,669,021,317.00000","21,569,992,205.00000","27,453,232,855.00000","5,289,091,364.00000","7,090,799,561.00000","20,239,996,706.00000","22,717,392,657.00000","11,032,017,280.00000","21,740,891,086.00000","19,274,913,096.00000","17,628,824,735.00000","24,722,210,831.00000","20,491,657,430.00000","18,485,728,958.00000","20,119,041,324.00000","4,828,708,660.00000","7,246,091,026.00000","17,976,215,074.00000","16,166,338,488.00000","14,776,129,175.00000",0.00000,0.00000,0,0,0,0,0,0,0,0,0,0,0,0
Ameren Corporation,SPS14080441,4007308,171794AF7,AEE 9.375 10/15/2029 FIX USD Corporate,5733361731,6549102577,5291026269,5158066366,1176141346,1816923954,5050807612,6062998997,2494224656,4255528452,0,0,0,0,0,0,0,0,0,0,0,0,0,2870274300,3229423972,0,0,0,0,0,0,0,0,0,0
"American Homes 4 Rent, L.P.",SPS1869214330,4413987,02666TAG2,AMERHOAL 5.5 02/01/2034 FIX USD Corporate,"26,537,892,307.00000","24,669,021,317.00000","21,569,992,205.00000","27,453,232,855.00000","5,289,091,364.00000","7,090,799,561.00000","20,239,996,706.00000","22,717,392,657.00000","11,032,017,280.00000","21,740,891,086.00000","19,274,913,096.00000","17,628,824,735.00000","24,722,210,831.00000","20,491,657,430.00000","18,485,728,958.00000","20,119,041,324.00000","4,828,708,660.00000","7,246,091,026.00000","17,976,215,074.00000","16,166,338,488.00000","14,776,129,175.00000",0.00000,0,0,0,0,0,0,0,0,0,0,0,0,0
Ameritech Capital Funding Corporation,SPS14047511,4150236,030955AJ7,SBC-AmtechCapF 6.875 10/15/2027 FIX USD Corporate,2771395169,2560618816,2739020219,4173674528,968687914,1377386893,2099042407,2231037884,1396463839,2241978047,1861314228,1788109490,2251095627,2172221504,2043262863,1329870281,884149275,750993359,1914673284,1871852136,1654718259,0,856670506,1914529216,1403864725,1929884750,538927140,2039922041,1903136367,2656583506,448902738,2063560185,1932490316,3443721178,1068322853
Anadarko Petroleum Corporation,SPS14036609,4010194,032511AJ6,APC 7.73 09/15/2096 FIX USD Corporate,"4,892,732,175.00000","5,450,510,749.00000","4,438,113,583.00000","4,888,424,562.00000","1,157,760,360.00000","1,489,342,752.00000","4,219,999,791.00000","4,449,692,895.00000","2,981,462,815.00000","3,914,336,656.00000","4,032,813,279.00000","3,870,805,644.00000","6,208,239,109.00000","4,230,698,861.00000","4,018,331,268.00000","3,714,536,590.00000","1,201,498,470.00000","1,409,879,600.00000","4,418,549,108.00000","4,554,831,340.00000","3,668,422,529.00000",0.00000,885398513,3215062379,3132836229,4058264875,721930014,3642825942,3402312673,4070877262,777680665,3602425840,3760922064,4989904136,923162000
Anadarko Petroleum Corporation,SPS14037944,4010194,032511AK3,APC 7.25 11/15/2096 FIX USD Corporate,4892732175,5450510749,4438113583,4888424562,1157760360,1489342752,4219999791,4449692895,2981462815,3914336656,4032813279,3870805644,6208239109,4230698861,4018331268,3714536590,1201498470,1409879600,4418549108,4554831340,3668422529,0,885398513,3215062379,3132836229,4058264875,721930014,3642825942,3402312673,4070877262,777680665,3602425840,3760922064,4989904136,923162000
Anadarko Petroleum Corporation,SPS14049077,4010194,032511AL1,APC 7.0 11/15/2027 FIX USD Corporate,4892732175,5450510749,4438113583,4888424562,1157760360,1489342752,4219999791,4449692895,2981462815,3914336656,4032813279,3870805644,6208239109,4230698861,4018331268,3714536590,1201498470,1409879600,4418549108,4554831340,3668422529,0,885398513,3215062379,3132836229,4058264875,721930014,3642825942,3402312673,4070877262,777680665,3602425840,3760922064,4989904136,923162000
Anadarko Petroleum Corporation,SPS14050789,4010194,032511AM9,APC 6.625 01/15/2028 FIX USD Corporate,4892732175,5450510749,4438113583,4888424562,1157760360,1489342752,4219999791,4449692895,2981462815,3914336656,4032813279,3870805644,6208239109,4230698861,4018331268,3714536590,1201498470,1409879600,4418549108,4554831340,3668422529,0,885398513,3215062379,3132836229,4058264875,721930014,3642825942,3402312673,4070877262,777680665,3602425840,3760922064,4989904136,923162000
Anadarko Petroleum Corporation,SPS14067687,4010194,032511AN7,APC 7.2 03/15/2029 FIX USD Corporate,4892732175,5450510749,4438113583,4888424562,1157760360,1489342752,4219999791,4449692895,2981462815,3914336656,4032813279,3870805644,6208239109,4230698861,4018331268,3714536590,1201498470,1409879600,4418549108,4554831340,3668422529,0,885398513,3215062379,3132836229,4058264875,721930014,3642825942,3402312673,4070877262,777680665,3602425840,3760922064,4989904136,923162000
Anadarko Petroleum Corporation,SPS151354409,4010194,032511AZ0,APC 10/10/2036 FIX USD Corporate 144A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APA Corporation,SPS1912144050,4010203,U0379QAE2,APACOR 7.75 12/15/2029 FIX USD Corporate RegS,4892732175,5450510749,4438113583,4888424562,1157760360,1489342752,4219999791,4449692895,2981462815,3914336656,4032813279,3870805644,6208239109,4230698861,4018331268,3714536590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APA Corporation,SPS1912144055,4010203,U0379QAK8,APACOR 4.75 04/15/2043 FIX USD Corporate RegS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APA Corporation,SPS1912144059,4010203,U0379QAP7,APACOR 7.63 11/01/2096 FIX USD Corporate RegS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apollo Debt Solutions BDC,SPS1916558713,27739734,03770DAF0,APOLDEB 6.55 03/15/2032 FIX USD Corporate,"26,537,892,307.00000","24,669,021,317.00000","21,569,992,205.00000","27,453,232,855.00000","5,289,091,364.00000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apollo Debt Solutions BDC,SPS1972936612,27739734,03770DAH6,SR 144A NT5.2%28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apollo Debt Solutions BDC,SPS1974799806,27739734,03770DAK9,APOLDEB 5.875 08/30/2030 FIX USD Corporate,"26,537,892,307.00000","24,669,021,317.00000","21,569,992,205.00000","27,453,232,855.00000","5,289,091,364.00000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Appalachian Power Company,SPS660100799,4056972,037735CY1,AEP-Appalachian 3.7 05/01/2050 FIX USD Corporate,"5,733,361,731.00000","6,549,102,577.00000","5,291,026,269.00000","5,158,066,366.00000","1,176,141,346.00000","1,816,923,954.00000","5,050,807,612.00000","6,062,998,997.00000","2,494,224,656.00000","4,255,528,452.00000","4,736,501,735.00000","3,424,462,312.00000","5,820,489,183.00000","5,093,050,639.00000","4,458,966,675.00000","4,617,637,381.00000","1,176,974,326.00000","1,238,716,619.00000","3,969,219,379.00000","4,376,238,747.00000","4,144,260,874.00000",0.00000,"750,029,646.00000","2,870,274,300.00000","3,229,423,972.00000","3,646,449,656.00000","725,078,539.00000","2,423,505,838.00000","2,729,033,681.00000","3,001,934,062.00000","707,317,963.00000","2,322,748,716.00000","3,518,245,781.00000","3,416,220,733.00000","443,286,706.00000"
"Bath & Body Works, Inc.",SPS14132358,4069317,532716AJ6,BATHB 6.95 03/01/2033 FIX USD Corporate 144A,6975619403,9155186877,6082801487,5944676396,1371118953,2262587514,6211912820,5859919460,2817296395,6029124233,5125792698,5245723531,7085289040,6133273778,5723180122,4785188918,1678145851,2228916272,5271098599,5992680178,5128268535,0,1526258521,4424568433,3694137155,5070738800,1548261000,5033278501,4868641407,6732622224,757231206,5534942504,4736439180,5990453586,876565002
"Bath & Body Works, Inc.",SPS14140320,4069317,532716AK3,BATHB 6.95 03/01/2033 FIX USD Corporate,6975619403,9155186877,6082801487,5944676396,1371118953,2262587514,6211912820,5859919460,2817296395,6029124233,5125792698,5245723531,7085289040,6133273778,5723180122,4785188918,1678145851,2228916272,5271098599,5992680178,5128268535,0,1526258521,4424568433,3694137155,5070738800,1548261000,5033278501,4868641407,6732622224,757231206,5534942504,4736439180,5990453586,876565002
"Bath & Body Works, Inc.",SPS64386194,4069317,U53313AA7,BATHB 6.95 03/01/2033 FIX USD Corporate RegS,6975619403,9155186877,6082801487,5944676396,1371118953,2262587514,6211912820,5859919460,2817296395,6029124233,5125792698,5245723531,7085289040,6133273778,5723180122,4785188918,1678145851,2228916272,5271098599,5992680178,5128268535,0,1526258521,4424568433,3694137155,5070738800,1548261000,5033278501,4868641407,6732622224,757231206,5534942504,4736439180,5990453586,876565002
"BellSouth Telecommunications, LLC",SPS14027259,4004438,079867AP2,BELLTEL 7.0 12/01/2095 FIX USD Corporate,2771395169,2560618816,2739020219,4173674528,968687914,1377386893,2099042407,2231037884,1396463839,2241978047,1861314228,1788109490,2251095627,2172221504,2043262863,1329870281,884149275,750993359,1914673284,1871852136,1654718259,0,856670506,1914529216,1403864725,1929884750,538927140,2039922041,1903136367,2656583506,448902738,2063560185,1932490316,3443721178,1068322853
