SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Issuer Name,Instrument Item ID,MI KEY,CUSIP,Description,"Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)"
SPT_ISSUER_NAME,SPT_INSTRUMENT_ITEM_ID,SPT_MI_KEY,SPT_CUSIP,SPT_DESCRIPTION,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID
,,,,,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price
,,,,,4/30/2026,3/31/2026,2/27/2026,1/30/2026,12/31/2025,11/28/2025,10/31/2025,9/30/2025,8/29/2025,7/31/2025,6/30/2025,5/30/2025,4/30/2025,3/31/2025,2/28/2025,1/31/2025,12/31/2024,11/29/2024,10/31/2024,9/30/2024,6/28/2024,3/29/2024,12/29/2023,9/29/2023,6/30/2023,3/31/2023,12/30/2022,9/30/2022,6/30/2022,3/31/2022,12/31/2021,9/30/2021,6/30/2021,3/31/2021,12/31/2020
AEP Texas Inc.,SPS1783388206,4056935,00108WAQ3,AETEXA 5.25 05/15/2052 FIX USD Corporate,6.08031,6.07874,5.8253,5.88038,5.87263,5.77159,5.78828,5.80899,6.06965,6.01208,6.00388,6.24755,6.23836,6.00641,5.87654,6.02497,5.98828,5.55673,5.71444,5.42952,6.03432,5.67706,5.49031,6.31664,5.60689,5.41324,5.52884,5.85993,5.14826,0,0,0,0,0,0
"AEP Transmission Company, LLC",SPS1675968448,4341449,00115AAN9,AEPTRA 2.75 08/15/2051 FIX USD Corporate,5.78899,5.7716,5.5423,5.59935,5.59367,5.43908,5.4083,5.39306,5.6195,5.6027,5.5964,5.8179,5.75801,5.60803,5.47649,5.70849,5.7093,5.27968,5.40697,5.071,5.6681,5.34831,5.14955,5.86924,5.13904,4.96302,5.20778,5.29604,4.62857,3.73921,2.95202,2.9751,0,0,0
Alcoa Nederland Holding B.V,SPS564713640,20065917,013822AD3,ALCONED 05/15/2028 FIX USD Corporate,6.08327,6.17734,4.82338,6.09194,5.33095,5.39594,5.55614,5.34699,5.35331,5.61880,5.29163,5.48667,6.17025,5.96193,5.66302,5.51944,6.08708,5.29926,5.93058,5.09615,6.24364,5.90256,5.64360,7.07268,6.22830,5.98943,6.36646,7.25167,6.64485,4.02203,2.41164,2.59845,2.50439,3.20615,3.08555
Alltel Corporation,SPS14070091,4019044,020039AJ2,ALTEL 6.8 05/01/2029 FIX USD Corporate,4.86576,4.90391,4.39122,4.67198,4.52946,4.62881,4.65676,4.66876,4.74546,5.06842,4.90737,5.14242,4.91047,5.18105,5.25267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ally Financial Inc.,SPS216192058,102864,02006DR52,ALLYFI 7.1 12/15/2028 FIX USD Corporate,7.16896,4.58844,5.04470,7.25701,7.25259,5.62281,3.21247,4.69418,3.53357,3.41147,6.37600,7.10846,7.23843,7.06489,7.05045,7.14045,7.25495,7.43975,7.35833,4.56036,5.27909,5.17448,6.20528,0,0,0,0,0,0,0,0,0,0,0,0
Ameren Corporation,SPS14080441,4007308,171794AF7,AEE 9.375 10/15/2029 FIX USD Corporate,3.89006,3.99949,4.09898,4.19799,4.29335,4.38834,5.60589,5.47190,5.53314,5.59688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"American Homes 4 Rent, L.P.",SPS1869214330,4413987,02666TAG2,AMERHOAL 5.5 02/01/2034 FIX USD Corporate,5.27544,5.33797,4.99893,5.11170,4.96340,4.92349,4.98725,4.97996,5.10871,5.26461,5.25170,5.52376,5.54304,5.48494,5.28231,5.59594,5.53916,5.23301,5.40412,5.03809,5.75114,5.55605,0,0,0,0,0,0,0,0,0,0,0,0,0
