SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Issuer Name,Instrument Item ID,MI KEY,CUSIP,Description,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid,Yield To Maturity (%) - Bid
SPT_ISSUER_NAME,SPT_INSTRUMENT_ITEM_ID,SPT_MI_KEY,SPT_CUSIP,SPT_DESCRIPTION,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID,SPT_EOD_YTM_BID
,,,,,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price
,,,,,04/30/2026,03/31/2026,02/27/2026,01/30/2026,12/31/2025,11/28/2025,10/31/2025,09/30/2025,08/29/2025,07/31/2025,06/30/2025,05/30/2025,04/30/2025,03/31/2025,02/28/2025,01/31/2025,12/31/2024,11/29/2024,10/31/2024,09/30/2024,06/28/2024,03/29/2024,12/29/2023,09/29/2023,06/30/2023,03/31/2023,12/30/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020
AEP Texas Inc.,SPS1783388206,4056935,00108WAQ3,AETEXA 5.25 05/15/2052 FIX USD Corporate,6.08031,6.07874,5.82530,5.88038,5.87263,5.77159,5.78828,5.80899,6.06965,6.01208,6.00388,6.24755,6.23836,6.00641,5.87654,6.02497,5.98828,5.55673,5.71444,5.42952,6.03432,5.67706,5.49031,6.31664,5.60689,5.41324,5.52884,5.85993,5.14826,0,0,0,0,0,0
"AEP Transmission Company, LLC",SPS1675968448,4341449,00115AAN9,AEPTRA 2.75 08/15/2051 FIX USD Corporate,5.78899,5.77160,5.54230,5.59935,5.59367,5.43908,5.40830,5.39306,5.61950,5.60270,5.59640,5.81790,5.75801,5.60803,5.47649,5.70849,5.70930,5.27968,5.40697,5.07100,5.66810,5.34831,5.14955,5.86924,5.13904,4.96302,5.20778,5.29604,4.62857,3.73921,2.95202,2.97510,0,0,0
Alcoa Nederland Holding B.V,SPS564713640,20065917,013822AD3,ALCONED 05/15/2028 FIX USD Corporate,6.15221,6.22794,6.05044,6.17221,6.07146,6.05159,6.06172,5.97403,5.94300,6.02191,5.90955,5.95512,6.26192,6.11383,5.97841,5.91408,6.13301,5.80356,6.06508,5.69307,6.29908,6.03824,5.88370,7.08915,6.27375,6.09500,6.45080,7.31119,6.69348,5.15568,4.70536,4.64891,4.53236,4.68864,4.60764
Alltel Corporation,SPS14070091,4019044,020039AJ2,ALTEL 6.8 05/01/2029 FIX USD Corporate,4.87192,4.91652,4.39613,4.67749,4.87036,4.63668,4.70982,4.73451,4.79857,5.10218,4.93905,5.19773,4.94303,5.23489,5.30794,5.65272,5.67332,5.44390,5.83188,5.25681,6.04729,5.90233,5.47207,6.39042,5.83045,5.33270,5.72549,5.73377,4.76538,4.12602,3.12177,2.96070,3.10048,3.58347,2.96061
Ally Financial Inc.,SPS216192058,102864,02006DR52,ALLYFI 7.1 12/15/2028 FIX USD Corporate,7.22474,6.97437,6.95080,7.25743,7.25289,6.90880,6.93713,6.92997,6.75384,6.64660,6.99755,7.12575,7.25802,7.10363,7.10206,7.15778,7.26615,7.46334,7.37569,6.95857,6.88938,7.00476,7.01063,0,0,0,0,0,0,0,0,0,0,0,0
Ameren Corporation,SPS14080441,4007308,171794AF7,AEE 9.375 10/15/2029 FIX USD Corporate,4.08601,4.08601,4.16698,4.26469,4.35882,4.45261,5.67217,5.53643,5.59660,5.65926,0,0,0,0,0,0,0,0,0,0,0,0,0,13.73648,13.73648,0,0,0,0,0,0,0,0,0,0
"American Homes 4 Rent, L.P.",SPS1869214330,4413987,02666TAG2,AMERHOAL 5.5 02/01/2034 FIX USD Corporate,5.28660,5.35023,5.02161,5.12789,4.98158,4.94994,5.00890,4.99924,5.12540,5.27628,5.26916,5.53083,5.56077,5.49650,5.29597,5.60674,5.54998,5.25723,5.41440,5.06110,5.76396,5.56999,0,0,0,0,0,0,0,0,0,0,0,0,0
