SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,105135,4056935,4341449,20065917,4019044,102864,4087349,4007308,4413987,4150236,4056972,4066994,4069317,4004438,4041154,29164958,4057111,4064347,6588911,6592953,4587510,4206401,4057141,4074390,4137131,4150067,103262,4041896,4057114,4101861,4059402,105573768,102701,4004201,4004350,4054848,4047867,5067632,4096334,4200085,29181597,4001616,4068060,4121470,4056998,4062444,4057103,4057079,4979833,113645,4040823,4057056,4383065,101479324,4064354,4049746,4171731,113873,4992262,4275565,108009705,4581397,4090258,4095387,4345132,4265772,105223,4095086,4057194,4057125,4887375,4099990,103464,4057004,4219466,4547508,4120239,29724772,4237798,4398514,4004318,4004104,4160255,4107947,4385530,4001582,4095638,4674780,4081927,4016692,4280272,4167462,102983,102896,4019364,4066321,4065678,4021829,4073968,4069910,4312710,4041363,4014547,4057208,4004218,4001587,4987464,4243759,6331267,4057139,4057023,4136576,4057217,4020418,4347089,4980858,4001600,4070675,4121677,4009083,4121199,4041957,4884928,4064204,4056971,4073447,3010781,4057167,103247,100144,4004086,102775,4017451,4039450,4004136,4107956,4071273,4146010,4228223,103324,7381986,4057229,4057233,4057234,4057235,4057236,4381427,4057242,4242781,4057032,4120680,100382,10595608,4006248,4057247,4279540
,,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023,FQ42023
,,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Ended,275657,12/31/2023,12/31/2023,12/31/2023,,,12/31/2023,12/31/2023,12/31/2023,12/31/2023,,12/31/2023,12/31/2023,1/28/2023,,,,,12/31/2023,12/31/2023,,,12/31/2023,12/31/2023,12/31/2023,,12/31/2023,12/31/2023,12/31/2023,,5/28/2023,12/31/2023,12/31/2023,12/31/2023,12/31/2023,12/31/2023,,,,12/31/2023,,,12/31/2023,12/31/2023,12/31/2023,12/31/2023,12/31/2023,12/31/2023,12/31/2023,,12/31/2023,12/31/2023,12/31/2023,,,12/31/2023,,,12/31/2023,12/31/2023,12/30/2023,12/31/2023,,12/31/2023,12/31/2023,,12/31/2023,10/31/2023,,,,,12/31/2023,11/30/2023,12/31/2023,,12/31/2023,1/28/2023,3/31/2023,,12/31/2023,2/3/2023,1/28/2023,12/31/2023,,12/31/2023,,12/31/2023,,12/31/2023,9/30/2023,12/31/2023,12/31/2023,12/31/2023,12/31/2023,12/31/2023,12/31/2023,,12/31/2023,,12/31/2023,,5/31/2023,12/31/2023,,12/31/2023,12/31/2023,12/31/2023,,12/31/2023,12/31/2023,12/31/2023,,12/31/2023,,12/31/2023,12/31/2023,12/31/2023,2/3/2023,12/31/2023,12/31/2023,12/31/2023,12/31/2023,12/31/2023,7/1/2023,12/31/2023,,12/31/2023,,12/31/2023,12/31/2023,12/31/2023,12/31/2023,12/31/2023,12/31/2023,1/28/2023,10/31/2023,,,12/31/2023,12/31/2023,,12/31/2023,,,,,,,3/31/2023,12/31/2023,,12/31/2023,,12/31/2023,,12/31/2023
Financial Filing Date,309159,2/5/2025,2/13/2025,2/13/2025,,,2/19/2025,2/26/2025,2/18/2025,2/21/2025,,2/13/2025,2/11/2025,3/22/2024,,,,,2/27/2025,2/28/2025,,,2/27/2025,2/20/2025,2/20/2025,,2/20/2025,2/24/2025,2/21/2025,,7/11/2024,3/29/2025,2/18/2025,2/13/2025,2/13/2025,2/27/2025,,,,2/20/2025,,,2/27/2025,2/14/2025,2/27/2025,2/27/2025,2/27/2025,3/19/2025,2/27/2025,,2/27/2025,2/20/2025,2/12/2025,,,2/14/2025,,,2/6/2025,2/25/2025,3/12/2025,2/13/2025,,2/14/2025,2/27/2025,,2/26/2025,12/13/2024,,,,,2/14/2025,1/28/2025,4/1/2025,,2/25/2025,3/21/2024,5/30/2024,,2/26/2025,3/25/2024,3/22/2024,2/28/2025,,2/28/2025,,2/25/2025,,2/24/2025,11/27/2024,2/14/2025,2/7/2025,2/25/2025,2/27/2025,2/27/2025,2/14/2025,,2/10/2025,,1/30/2025,,6/20/2024,2/24/2025,,2/13/2025,2/24/2025,2/20/2025,,2/18/2025,3/29/2025,2/13/2025,,2/20/2025,,2/18/2025,2/14/2025,2/3/2025,3/20/2024,3/3/2025,2/27/2025,2/7/2025,2/26/2025,2/26/2025,8/28/2024,2/23/2024,,2/21/2025,,2/24/2025,2/27/2025,2/3/2025,2/26/2025,3/5/2025,2/27/2025,4/2/2024,12/18/2024,,,2/13/2025,2/27/2025,,2/12/2025,,,,,,,5/29/2024,2/27/2025,,2/25/2025,,2/14/2025,,5/27/2025
Spot Exchange Rate,275660,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.273756
Average Exchange Rate,275661,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,NA,1.000000,NA,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,NA,NA,NA,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NA,NA,1.000000,1.000000,NA,1.000000,NA,NA,NA,NA,NA,NA,1.000000,1.000000,NA,1.000000,NA,1.000000,NA,1.241588
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Short-term Investments,268525,"5,785,000",100,NA,NA,NA,"6,945,000","3,686,000","25,000","59,385",NA,"5,000","218,053","1,232,000",NA,NA,NA,NA,"1,531,477","5,265,000",NA,NA,"39,198","16,000","662,000",NA,"144,500","907,000","802,215,000",NA,"93,300",421,"366,000","4,945,000","1,779,000","1,436,000",NA,NA,NA,"11,689,000",NA,NA,"184,000","398,561","253,000","24,000","8,000","3,067","24,000",NA,"78,955","216,800","457,000",NA,NA,"69,646",NA,NA,"28,724,000","1,888,800","117,765","2,494,000",NA,"2,088,887","544,800",NA,"640,032","3,232,000",NA,NA,NA,NA,"328,000","44,831,069",NA,NA,"267,000","153,000","1,847,000",NA,"48,978","1,599,000","862,000","60,083",NA,"529,561",NA,"4,583,000",NA,"637,000","68,959","1,705,000","457,815","22,347","894,000","259,000","332,000",NA,"1,568,000",NA,"3,109,000",NA,"10,187,000","1,615,000",NA,"442,000","138,000","11,409",NA,"368,700","2,100","2,500",NA,"10,000",NA,"3,084,880","498,000","6,587,000","109,000","65,807","214,000","11,474,000","71,154","106,536","745,000",60,NA,"5,000",NA,"5,868,000","164,895,000","15,943,000","78,649,000","15,500","1,031,745,000","1,015,000","193,100",NA,NA,"352,000","1,756,700",NA,"2,065,000",NA,NA,NA,NA,NA,NA,"1,348,854","233,000",NA,"387,896,000",NA,"1,164,000",NA,NA
