issuer_name,cusip,instrument_id,mi_key,actual_spread,predicted_spread,cheapness_bps,downgrade_prob_4q,sp_rating,rating_numeric,modified_duration,quadrant,rv_long_score,rv_short_score
Vericast Corp.,U9231NAK4,SPS1805148393,4158977,784.48926,263.126092826197,521.3631671738029,,CCC,18.0,1.29494,Long (cheap+safe),260.68158358690147,-260.68158358690147
Vericast Corp.,92342NAK9,SPS1805310512,4158977,784.48926,263.126092826197,521.3631671738029,,CCC,18.0,1.29494,Long (cheap+safe),260.68158358690147,-260.68158358690147
"LGI Homes, Inc.",50187TAJ5,SPS1862056393,4398514,308.435,129.31552914119348,179.11947085880652,0.06813655546160627,B,15.0,2.17342,Long (cheap+safe),166.91488709838188,-12.204583760424638
Yellowstone Energy LP,98580LAA3,SPS291371305,4064145,431.97865,120.54876627224576,311.42988372775426,,BBB,9.0,0.54831,Long (cheap+safe),155.71494186387713,-155.71494186387713
"Warner Media, LLC",887317AH8,SPS109112605,4120680,591.72212,308.56226731768567,283.15985268231435,,BB,12.0,7.89096,Long (cheap+safe),141.57992634115718,-141.57992634115718
"Bath & Body Works, Inc.",U53313AA7,SPS64386194,4069317,293.98588,156.817232073495,137.168647926505,0.09318366004354417,BB-,13.0,5.21364,Long (cheap+safe),124.38677126948896,-12.781876657016042
"Bath & Body Works, Inc.",532716AJ6,SPS14132358,4069317,293.98588,156.817232073495,137.168647926505,0.09318366004354417,BB-,13.0,5.21364,Long (cheap+safe),124.38677126948896,-12.781876657016042
"Warner Media, LLC",887317AX3,SPS302465050,4120680,606.20705,365.90690421525,240.30014578475,,BB,12.0,9.13513,Long (cheap+safe),120.150072892375,-120.150072892375
"iHeartCommunications, Inc.",U45057AP8,SPS1912350935,4095086,504.10151,277.2308422507256,226.87066774927445,,CCC+,17.0,3.71535,Long (cheap+safe),113.43533387463722,-113.43533387463722
Valero Energy Corporation,252747AF7,SPS14034325,4011157,304.30968,90.64776868237833,213.66191131762167,,BBB,9.0,0.08571,Long (cheap+safe),106.83095565881084,-106.83095565881084
"Warner Media, LLC",887317AE5,SPS99075343,4120680,536.02379,339.2792449848454,196.74454501515459,,BB,12.0,8.05474,Long (cheap+safe),98.37227250757729,-98.37227250757729
USF&G Capital III,90330SAB6,SPS32227124,7381986,333.22728,142.09118280932515,191.13609719067486,,BBB+,8.0,9.55471,Long (cheap+safe),95.56804859533743,-95.56804859533743
"Warner Media, LLC",887317AM7,SPS141639167,4120680,534.45033,344.36731521071124,190.08301478928877,,BB,12.0,8.78852,Long (cheap+safe),95.04150739464438,-95.04150739464438
"Talcott Resolution Life, Inc.",416592AC7,SPS14043960,109080,271.51699,82.57202318331312,188.9449668166869,,BB+,11.0,0.95698,Long (cheap+safe),94.47248340834345,-94.47248340834345
Jefferies Financial Group Inc.,47233JCR7,SPS643085688,103464,388.21756,232.89775875396222,155.31980124603777,0.3941554534165877,BBB,9.0,6.83156,Trap (cheap+risky),94.09965456133148,-61.2201466847063
"Warner Media, LLC",887317AS4,SPS252866919,4120680,510.58523,328.97338831294,181.61184168706,,BB,12.0,9.09024,Long (cheap+safe),90.80592084353,-90.80592084353
"Bath & Body Works, Inc.",532716AK3,SPS14140320,4069317,293.98588,196.45471627139608,97.53116372860393,0.09318366004354417,BB-,13.0,5.21364,Long (cheap+safe),88.44285292406646,-9.088310804537475
