issuer_name,cusip,instrument_id,mi_key,spread_target,spread_source,predicted_spread,cheapness_bps,sp_rating,rating_numeric,modified_duration
AEP Texas Inc.,00108WAQ3,SPS1783388206,4056935,140.95622,z_spread_bid,157.2249194834459,-16.268699483445886,BBB+,8.0,13.41435
"AEP Transmission Company, LLC",00115AAN9,SPS1675968448,4341449,109.51549,z_spread_bid,131.2783410567994,-21.762851056799406,BBB+,8.0,15.40769
Alcoa Nederland Holding B.V,013822AD3,SPS564713640,20065917,0.0,z_spread_bid,165.48340174315572,-165.48340174315572,BB+,11.0,0.0
Alltel Corporation,020039AJ2,SPS14070091,4019044,90.98841,z_spread_bid,53.51421012056753,37.47419987943247,BBB+,8.0,2.62554
Ameren Corporation,171794AF7,SPS14080441,4007308,110.76264,z_spread_bid,137.1118229217188,-26.349182921718807,BBB,9.0,2.89411
"American Homes 4 Rent, L.P.",02666TAG2,SPS1869214330,4413987,100.26974,z_spread_bid,123.03152618349418,-22.76178618349418,BBB,9.0,6.10156
Ameritech Capital Funding Corporation,030955AJ7,SPS14047511,4150236,114.35885,z_spread_bid,90.64841804504225,23.710431954957755,BBB,9.0,1.29452
Anadarko Petroleum Corporation,032511AJ6,SPS14036609,4010194,305.12025,z_spread_bid,228.53054232196075,76.58970767803925,BB+,11.0,12.99838
Anadarko Petroleum Corporation,032511AK3,SPS14037944,4010194,292.23913,z_spread_bid,210.55322121467339,81.6859087853266,BB+,11.0,13.41025
Anadarko Petroleum Corporation,032511AL1,SPS14049077,4010194,215.29022,z_spread_bid,161.0100661657407,54.280153834259295,BB+,11.0,1.36749
Anadarko Petroleum Corporation,032511AM9,SPS14050789,4010194,88.61897,z_spread_bid,278.2944859785716,-189.67551597857158,BB+,11.0,1.49687
Anadarko Petroleum Corporation,032511AN7,SPS14067687,4010194,91.39686,z_spread_bid,172.9614873103497,-81.56462731034969,BB+,11.0,2.49017
APA Corporation,U0379QAE2,SPS1912144050,4010203,91.50279,z_spread_bid,111.74911752336659,-20.24632752336659,BBB-,10.0,3.00769
Apollo Debt Solutions BDC,03770DAF0,SPS1916558713,27739734,206.28585,z_spread_bid,151.286777267872,54.99907273212801,BBB-,10.0,4.70924
Apollo Debt Solutions BDC,03770DAK9,SPS1974799806,27739734,191.25097,z_spread_bid,206.576311246058,-15.325341246058002,BBB-,10.0,3.65711
Appalachian Power Company,037735CY1,SPS660100799,4056972,133.38211,z_spread_bid,135.07831571658363,-1.69620571658362,BBB+,8.0,14.00297
"Bath & Body Works, Inc.",532716AJ6,SPS14132358,4069317,293.98588,z_spread_bid,156.817232073495,137.168647926505,BB-,13.0,5.21364
"Bath & Body Works, Inc.",532716AK3,SPS14140320,4069317,293.98588,z_spread_bid,196.45471627139608,97.53116372860393,BB-,13.0,5.21364
"Bath & Body Works, Inc.",U53313AA7,SPS64386194,4069317,293.98588,z_spread_bid,156.817232073495,137.168647926505,BB-,13.0,5.21364
"BellSouth Telecommunications, LLC",079867AP2,SPS14027259,4004438,236.03025,z_spread_bid,265.98172668136533,-29.951476681365335,BBB,9.0,14.07675
"BellSouth Telecommunications, LLC",079867AS6,SPS14027520,4004438,372.2964,z_spread_bid,247.38012923816427,124.91627076183573,BBB,9.0,11.23761
"BellSouth, LLC",079857AC2,SPS14037949,4041154,-21.96638,z_spread_bid,72.42934656281383,-94.39572656281383,BBB,9.0,0.45233
"BellSouth, LLC",079857AF5,SPS14045528,4041154,249.08903,z_spread_bid,159.48657080619472,89.60245919380529,BBB,9.0,13.93219
"BellSouth, LLC",079857AH1,SPS14081146,4041154,105.11591,z_spread_bid,115.81913667809387,-10.70322667809387,BBB,9.0,3.16146
"BellSouth, LLC",079860AD4,SPS14106681,4041154,102.68909,z_spread_bid,103.8513954214354,-1.1623054214354056,BBB,9.0,4.46831
Belo Corp.,080555AE5,SPS14043892,4121666,129.87021,z_spread_bid,138.4708416702083,-8.600631670208315,BB+,11.0,0.92593
Belo Corp.,080555AF2,SPS14046964,4121666,129.22694,z_spread_bid,126.87383796649056,2.353102033509458,BB+,11.0,1.21005
Blue Owl Credit Income Corp.,69120VBB6,SPS1879069869,25867257,179.00849,z_spread_bid,237.76165925206544,-58.75316925206545,BBB-,10.0,1.80513
Blue Owl Finance LLC,U0942JAE6,SPS1837977662,29164958,108.92218,z_spread_bid,167.63459887608187,-58.71241887608187,BBB,9.0,1.84079
Blue Owl Finance LLC,09581JAK2,SPS1837977799,29164958,108.92218,z_spread_bid,167.63459887608187,-58.71241887608187,BBB,9.0,1.84079
Blue Owl Finance LLC,09581JAJ5,SPS1837977804,29164958,108.92218,z_spread_bid,167.63459887608187,-58.71241887608187,BBB,9.0,1.84079
Boston Gas Company,100743AN3,SPS1848145517,4057111,163.5612,z_spread_bid,147.91404013786553,15.647159862134487,BBB+,8.0,12.79487
Boston Gas Company,U0568KAE6,SPS1848226543,4057111,163.5612,z_spread_bid,147.91404013786553,15.647159862134487,BBB+,8.0,12.79487
Boston Properties Limited Partnership,10112RBE3,SPS706230363,4064347,94.7415,z_spread_bid,84.30888699489762,10.432613005102382,BBB,9.0,5.26716
"Brighthouse Financial, Inc.",10922NAB9,SPS434448530,6588911,84.05408,z_spread_bid,116.1534132596625,-32.0993332596625,BBB,9.0,1.01127
"CenterPoint Energy, Inc.",15189TAX5,SPS632958506,4074390,64.00766,z_spread_bid,101.23608552542242,-37.22842552542242,BBB,9.0,3.46589
"CenterPoint Energy, Inc.",15189TAY3,SPS632958507,4074390,152.64685,z_spread_bid,195.8714185000291,-43.22456850002911,BBB,9.0,13.55677
"Charter Communications Operating, LLC",161175CJ1,SPS1774063860,4137131,153.22718,z_spread_bid,150.94560051117963,2.2815794888203698,BBB-,10.0,5.72667
"Charter Communications Operating, LLC",161175CL6,SPS1774063862,4137131,282.60067,z_spread_bid,256.3105447562319,26.290125243768102,BBB-,10.0,13.00693
Cincinnati Financial Corporation,172062AC5,SPS14056539,103262,80.49345,z_spread_bid,119.51824215120652,-39.024792151206526,BBB+,8.0,1.81973
Cincinnati Financial Corporation,172062AF8,SPS14177198,103262,28.0663,z_spread_bid,83.95887979332137,-55.892579793321374,BBB+,8.0,1.82481
Citigroup Inc.,1730T3BB8,SPS165288847,4041896,139.10847,z_spread_bid,128.19362235833944,10.914847641660572,BBB+,8.0,7.90693
Citigroup Inc.,17327CAQ6,SPS1764851411,4041896,81.08126,z_spread_bid,101.3007330664301,-20.219473066430098,BBB+,8.0,5.81472
Citigroup Inc.,172967NN7,SPS1774231253,4041896,88.10658,z_spread_bid,102.086312657481,-13.979732657481009,BBB+,8.0,5.82938
Citigroup Inc.,172967NU1,SPS1783829058,4041896,89.57052,z_spread_bid,102.80913439049489,-13.238614390494888,BBB+,8.0,5.83701
Citigroup Inc.,172967PA3,SPS1814836101,4041896,93.00828,z_spread_bid,109.18043760079159,-16.172157600791593,BBB+,8.0,5.95705
Citigroup Inc.,U17408NC2,SPS1955139175,4041896,146.00471,z_spread_bid,126.73102739665397,19.273682603346018,BBB+,8.0,7.2873
Citigroup Inc.,172967QE4,SPS1956598824,4041896,161.77527,z_spread_bid,142.07420068380026,19.70106931619975,BBB,9.0,11.06754
Citigroup Inc.,172967MP3,SPS660463768,4041896,113.23957,z_spread_bid,96.77976998460703,16.45980001539297,BBB+,8.0,4.25082
Citigroup Inc.,17290AHK9,SPS712751877,4041896,144.39003,z_spread_bid,132.64997667864083,11.74005332135917,BBB+,8.0,10.95791
"Colorado Interstate Gas Company, L.L.C.",196522AE6,SPS14044297,4057158,132.05808,z_spread_bid,143.20399889883925,-11.145918898839255,BBB+,8.0,7.63424
Connecticut Natural Gas Corporation,20765QAH8,SPS14548092,4059402,121.89866,z_spread_bid,130.53274757713382,-8.634087577133812,BBB+,8.0,7.08986
Connecticut Natural Gas Corporation,20765QAK1,SPS37846246,4059402,138.59574,z_spread_bid,127.04891261346883,11.546827386531177,BBB+,8.0,7.98583
"Continental Resources, Inc.",212015AQ4,SPS263811432,4120318,203.01302,z_spread_bid,153.65528540359495,49.357734596405066,BBB-,10.0,10.8011
"Corebridge Financial, Inc.",U20256AF7,SPS1776484759,102701,128.6425,z_spread_bid,54.9305436167809,73.7119563832191,BBB+,8.0,13.93163
